
       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2 MOB     
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- --- ---     
    8000004 MIZZANA                        FERRARA                        FE  44.85106  11.58260     7  021 19910103 20120402  01  00  01  01  01  01  00  00  00  00     
    8000005 BOLOGNA                        FERRARA                        FE  44.82998  11.60999     9  011 19950714 20080929  01  00  01  01  01  00  01  00  00  00     
    8000006 LABORATORIO                    FERRARA                        FE  44.83997  11.62999     6  000 19900101 20090615  00  00  00  00  00  00  00  00  00  00     
    8000007 GHERARDI                       JOLANDA DI SAVOIA              FE  44.83975  11.96125    -2  033 19980301 -999      01  01  01  01  01  00  00  00  01  00     
    8000008 708 CENTO                      CENTO                          FE  44.71999  11.29000    16  011 19980901 20071216  00  00  01  01  01  00  01  00  00  00     
    8000038 CENTO                          CENTO                          FE  44.73301  11.29966    15  012 20071220 -999      01  01  01  01  01  00  01  00  00  00     
    8000039 LM-FE                          FERRARA                        FE   8.72190  10.93744 -9999  000 20030703 -999      01  01  01  01  01  01  01  01  00  01     
    8000040 VILLA FULVIA                   FERRARA                        FE  44.82426  11.64962     8  031 20080917 -999      01  01  01  01  01  00  00  00  01  00     
    8000041 OSTELLATO                      OSTELLATO                      FE  44.74090  11.94194     0  033 20081203 -999      01  00  01  01  01  00  00  00  01  00     
    8000042 VIA BELLONCI                   FERRARA                        FE  44.84420  11.64719     4  031 20100330 20100615  00  01  01  01  01  01  00  00  00  00     
    8000043 UM-FE-01                       FERRARA                        FE  44.84249  11.61314     8  000 20091121 -999      00  01  00  00  00  00  00  00  01  01     
    8000044 CASSANA                        FERRARA                        FE  44.84955  11.56229    10  021 20101223 -999      00  01  01  01  01  01  01  00  01  00     
    8000045 BARCO NUOVA                    FERRARA                        FE  44.85998  11.61000     5  021 20130101 -999      01  01  01  01  01  00  01  01  01  00     
    9000001 GERMANI                        RAVENNA                        RA  44.44552  12.27289     4  000 19890101 20031231  01  01  01  01  01  01  00  00  01  00     
    9000002 AZIENDA MARANI                 RAVENNA                        RA  44.46608  12.20823     4  000 19890101 19931231  00  01  01  01  01  01  00  00  00  00     
    9000004 AGIP 29                        RAVENNA                        RA  44.45473  12.15831     4  000 19890401 20020410  00  01  00  00  00  01  00  00  01  00     
    9000005 MARINA DI RAVENNA              RAVENNA                        RA  44.48081  12.28228     4  000 19760101 19971231  01  00  01  01  01  01  00  00  00  00     
    9000006 AZIENDA ZORABINI               RAVENNA                        RA  44.49860  12.20745     4  000 19890101 20171231  01  00  01  01  01  01  00  00  00  00     
    9000007 S. ALBERTO                     RAVENNA                        RA  44.45478  12.15832     0  000 19760101 20141219  00  00  01  01  01  01  00  00  00  00     
    9000008 ANIC METEO                     RAVENNA                        RA  44.44000  12.23000 -9999  000 19720101 20081231  00  00  00  00  00  00  00  00  00  00     
    9000009 PIAZZA RESISTENZA              RAVENNA                        RA  44.41583  12.18863 -9999  000 19900401 19981231  01  00  01  01  01  01  01  00  00  00     
    9000011 S.A.P.I.R.                     RAVENNA                        RA  44.44463  12.25107     0  022 19910330 19930525  01  01  01  01  01  01  01  00  00  00     
    9000012 STADIO                         RAVENNA                        RA  44.40583  12.19428     4  012 19750601 20080611  00  00  01  01  01  01  01  00  00  00     
    9000014 ZALAMELLA                      RAVENNA                        RA  44.42778  12.18649     4  011 19930601 -999      00  01  01  01  01  00  01  01  00  00     
    9000015 N. ROCCA BRANCALEONE           RAVENNA                        RA  44.42257  12.20657     4  011 19970918 -999      01  01  01  01  01  01  01  00  00  00     
    9000016 CERAMICHE                      FAENZA                         RA  44.28945  11.88877    35  011 19950920 20001231  00  01  01  01  01  01  01  00  00  00     
    9000017 MARCONI                        FAENZA                         RA  44.28258  11.87360    35  011 19950914 20021231  00  01  01  01  01  00  01  01  00  00     
    9000018 PARCO BUCCI                    FAENZA                         RA  44.29502  11.87110    35  031 19950926 20090408  01  01  01  01  01  00  01  00  01  00     
    9000019 BISAURA                        FAENZA                         RA  44.33029  11.90216    35  033 19850101 20090115  00  00  00  00  00  00  00  00  00  00     
    9000020 COTIGNOLA                      COTIGNOLA                      RA  44.39158  11.94335    19  012 19980501 20080930  01  01  00  00  00  01  00  00  00  00     
    9000021 CAORLE                         RAVENNA                        RA  44.41926  12.22539     4  011 19990312 -999      01  01  01  01  01  01  01  00  01  00     
