id_staz,lat,lon,quota,dataset,nome
H13130,43.75902,11.50242,325.0,fiduto,Pelago
H13132,44.19229,10.29163,660.0,fiduto,Piazza al Serchio
H13133,43.78001,10.58942,38.0,fiduto,Pieve di Compito
H13139,44.36946,09.89277,340.0,fiduto,Pontremoli
H13144,43.79648,11.41280,230.0,fiduto,Remole
H13149,43.90594,10.59300,238.0,fiduto,S. Pietro a Marcigliano
H13154,43.94704,10.98774,125.0,fiduto,Santomato
H13158,43.74962,12.27466,1000.0,fiduto,Sestino
H13160,43.96908,10.71640,560.0,fiduto,Sorana
H13161,43.83162,11.70130,838.0,fiduto,Stia Monte
H13163,43.99303,10.20935,124.0,fiduto,Strettoia
H13167,43.96481,11.14720,322.0,fiduto,Vaiano acquedotto
H13169,44.25029,09.96892,156.0,fiduto,Villafranca
H13171,43.73599,11.78248,417.0,fiduto,Zoo di Poppi
H13176,43.87684,11.44752,960.0,fiduto,Monte Giovi
H13179,43.93441,10.58465,938.0,fiduto,Pizzorne
H13183,44.03690,10.92043,785.0,fiduto,Sammomme'
H14423,43.93943,11.64267,918.0,fiduto,Castagneto
H14692,44.04526,10.06012,15.0,fiduto,Avenza
H14693,44.16291,10.33843,390.0,fiduto,Camporgiano
H14700,44.09102,10.10335,142.0,fiduto,Torano
H14702,43.87182,10.24036,25.0,fiduto,Viareggio Lungomare
H14828,43.89652,10.69504,78.0,fiduto,Pescia
H07653,43.77118,11.42281,79.0,fiduto,Nave di Rosano
H07770,43.92289,11.12703,107.0,fiduto,Vaiano Gamberame
H07780,43.91979,10.89593,66.0,fiduto,Pontelungo valle
H07790,43.84200,11.65746,745.0,fiduto,Vallucciole
H07791,43.80176,11.71759,537.0,fiduto,Stia
H07792,43.74022,11.62066,745.0,fiduto,Montemignaio
H07794,43.81040,11.81736,1111.0,fiduto,Camaldoli
H07795,43.79418,11.87679,845.0,fiduto,Badia Prataglia
H07797,43.70690,11.93131,1125.0,fiduto,La Verna
H07812,43.73135,11.55681,980.0,fiduto,Vallombrosa
H07813,43.98355,11.23742,256.0,fiduto,Cavallina
H07815,43.90832,11.27485,340.0,fiduto,Vaglia
H07816,43.96509,11.32801,222.0,fiduto,S. Piero a Sieve-Sieve
H07817,44.02067,11.33720,357.0,fiduto,S. Agata di Mugello
H07818,44.03156,11.46772,637.0,fiduto,Razzuolo
