id_staz,lat,lon,quota,nome
S01476,  58.85650,   9.57450,   5.0,synop,JOMFRULAND LH
S01477,  59.71300,  10.14600, 193.0,synop,KONNERUD
S01478,  58.96880,  10.14800,  15.0,synop,SVENNER LH
S01480,  59.75370,  10.12370,   8.0,synop,DRAMMEN BERSKOG
S01481,  59.23000,  10.34830,  26.0,synop,MELSOM
S01482,  59.02720,  10.52420,   6.0,synop,FERDER LH
S01483,,,,,
S01484,  59.91220,  11.58000, 128.0,synop,AURSKOG
S01485,  59.61930,  10.21500,  60.0,synop,SANDE-GALLEBERG
S01486,  59.85620,  10.43450, 163.0,synop,ASKER
S01487,  59.92730,  10.83520,  90.0,synop,ALNA
S01488,  60.11730,  10.82900, 170.0,synop,HAKADAL
S01489,  60.05130,  10.68780, 360.0,synop,BJORNHOLT
S01490,  59.98470,  10.66930, 514.0,synop,TRYVANNSHOGDA
S01492,  59.94230,  10.72000,  94.0,synop,OSLO-BLINDERN
S01493,  59.28520,  11.11280,  57.0,synop,SARPSBORG
S01494,  59.37420,  10.79800,  40.0,synop,RYGGE
S01495,  59.15130,  10.82880,  10.0,synop,STROMTANGEN LH
S01556,          ,          ,      ,synop,
S02013,  67.73389,  17.47389, 541.6,synop,RITSEM
S02019,  68.42017,  18.16817, 514.2,synop,KATTERJAKK
S02020,  68.42111,  18.17139, 516.0,synop,Katterjakk
S02024,  67.50528,  18.30194, 425.4,synop,STORA SJOFALLET
S02029,  67.91889,  18.61194,1144.9,synop,TARFALA
S02031,  68.08000,  19.84361, 493.5,synop,RENSJON
S02036,  67.85694,  19.03139, 466.7,synop,NIKKALUOKTA
S02038,  67.26083,  20.28028, 453.1,synop,LATNIVAARA
S02044,  67.81667,  20.33333,      ,synop,Kiruna Airport
S02049,  67.14806,  20.65417, 358.5,synop,GALLIVARE
S02054,  68.04398,  21.75496, 355.0,synop,NEDRE SOPPERO
S02055,  68.68528,  21.53472, 402.2,synop,NAIMAKKA
S02064,  67.34056,  22.23389, 240.4,synop,SAITTAROVA
S02072,  67.71917,  22.83361, 312.0,synop,PARKALOMPOLO
S02081,  68.44183,  22.44350, 329.8,synop,KARESUANDO
S02095,  67.20367,  23.39000, 163.9,synop,PAJALA
S02101,  65.80612,  15.08278, 458.0,synop,Hemavan
S02102,  65.10167,  14.51444,1036.2,synop,STEKENJOKK
S02103,  65.78333,  15.07417, 793.0,synop,HEMAVAN-GIEREVARTO
S02110,  65.33583,  15.07028, 577.3,synop,GIELAS
S02119,  66.88733,  18.01983, 314.6,synop,KVIKKJOKK-ARRENJARKA
S02121,  66.66917,  16.11472, 614.0,synop,MIERKENIS
S02123,  66.32417,  17.09442, 552.0,synop,JAKKVIK
S02124,  66.05222,  17.84389, 431.0,synop,ARJEPLOG
S02126,  65.00950,  17.69933, 275.4,synop,GUNNARN
S02130,  66.48603,  16.41734, 483.0,synop,ROPARUDDEN
S02135,  65.56556,  17.86694, 393.0,synop,BURESJON
S02141,  66.30000,  19.20000, 581.1,synop,Tjakaape
S02146,  66.50502,  19.67495, 325.0,synop,VAJMAT
S02147,  65.15389,  18.60694, 362.9,synop,MALA-BRANNAN
S02149,  65.60333,  19.26694, 382.3,synop,ARVIDSJAUR
S02151,  66.48333,  20.16667, 275.0,synop,Jokkmokk Fpl
S02154,  65.86667,  20.15000,      ,synop,Vidsel
S02161,  66.75500,  20.91861, 327.4,synop,NATTAVAARA
S02170,  65.75272,  21.76498,   9.0,synop,SAVAST
S02171,  65.80834,  21.63445,  25.2,synop,Boden
S02173,  65.67278,  21.07722,  43.2,synop,ALVSBYN
S02174,  66.28917,  21.14389, 184.9,synop,LAKATRASK
S02176,  65.03639,  21.57611,   4.0,synop,PITE-RONNSKAR
S02181,  66.27167,  22.85694,  60.8,synop,OVERKALIX-SVARTBYN
S02184,  66.81778,  22.33833, 227.5,synop,PAHAROVA
S02186,  65.53333,  22.11667,      ,synop,Lulea Kallax Airport
S02188,  65.32194,  22.38139,   1.7,synop,RODKALLEN
S02191,  65.68583,  23.10139,   3.6,synop,STORON
S02196,,,,,
S02197,  65.82367,  24.11133,  13.1,synop,HAPARANDA
S02199,  66.62806,  23.46917, 132.2,synop,YLINENJARVI
S02207,  63.28267,  12.12183, 583.0,synop,STORLIEN-STORVALLEN
S02209,  63.05250,  12.28500,1030.1,synop,SYLARNA
S02210,  63.18543,  12.17347,1090.0,synop,BLAHAMMAREN
S02216,  63.30543,  13.87671, 360.0,synop,MATTMAR
S02217,  63.37375,  13.16067, 403.0,synop,ARE
S02219,  64.50450,  14.22083, 553.1,synop,GADDEDE
S02221,  63.84389,  13.50639, 716.8,synop,KORSVATTNET
S02226,  63.18334,  14.50000,      ,synop,Ostersund Froson
S02230,  64.21694,  15.56056, 309.9,synop,GUBBHOGEN
S02231,  63.68417,  14.61333, 361.7,synop,FOLLINGE
S02233,  64.96782,  15.37907, 542.0,synop,SAXNAS
S02236,  63.77139,  15.34083, 375.4,synop,HALLHAXASEN
S02242,  64.09194,  16.24278, 241.2,synop,HOTING
S02243,  63.68383,  16.95000, 218.6,synop,JUNSELE
S02245,  64.59056,  16.84806, 348.1,synop,VILHELMINA
S02247,  63.15361,  16.16778, 182.8,synop,KRANGEDE
S02254,  64.17694,  17.32056, 307.3,synop,ASELE
S02256,  64.73431,  17.40337, 598.0,synop,RISTRASK
S02260,  63.13083,  18.25917, 141.5,synop,VASTMARKUM
S02261,  64.56000,  18.71722, 209.9,synop,LYCKSELE
S02263,  64.08139,  18.37611, 327.4,synop,FREDRIKA
S02265,  63.65222,  18.55056, 182.2,synop,HEMLING
S02267,  63.41167,  18.97972, 108.0,synop,Ornskoldsvik
S02269,  63.19222,  19.02306,  11.3,synop,SKAGSUDDE
S02271,  64.93306,  19.38639, 309.3,synop,NORSJO
S02282,  64.56722,  19.70861, 258.0,synop,PETISTRASK
S02284,  63.43778,  19.68389,   6.4,synop,JARNASKLUBB
S02286,  63.80000,  20.28333,      ,synop,Umea Flygplats
S02287,  63.80700,  20.86450,   6.3,synop,HOLMON
S02292,  64.43583,  21.27997,  92.0,synop,HOKMARKSBERGET
S02293,  64.61667,  21.06667,      ,synop,Skelleftea Airport
S02297,  64.49111,  21.58750,  39.9,synop,BJUROKLUBB
S02302,  61.84026,  12.28798, 661.0,synop,STORBO/IDRE
S02303,  62.72909,  12.72640, 932.0,synop,FLATRUET
S02307,  61.89333,  12.85722, 868.6,synop,IDRE FJALL
S02308,  62.45056,  12.67278, 723.0,synop,TANNAS
S02311,  61.15829,  13.11383, 751.0,synop,HOGFJALLSHOTELLET
S02317,  62.10194,  13.60194, 566.3,synop,DRAVAGEN
S02319,  62.75972,  13.85417, 466.9,synop,BORTNAN
S02321,  61.25722,  14.04194, 251.7,synop,ALVDALEN
S02325,  62.50472,  14.16222, 801.6,synop,KLOVSJOHOJDEN
S02327,  62.04617,  14.40700, 357.3,synop,SVEG
S02329,  61.66778,  14.98528, 453.9,synop,HAMRA
S02331,  62.75222,  15.09056, 343.1,synop,HUNGE
S02337,  62.26317,  15.67093, 327.0,synop,NORRHOG
S02338,  61.36917,  15.71833, 183.8,synop,EDSBYN
S02343,  62.50167,  16.28472,  98.5,synop,TORPSHAMMAR
S02347,  61.83417,  16.54778,  70.6,synop,DELSBO
S02349,  62.76291,  16.73870, 210.0,synop,SILLRE
S02354,  62.43064,  17.34470,  83.0,synop,RASTA
S02355,  61.70056,  17.53083,   8.5,synop,KUGGOREN
S02366,  62.51667,  17.43333,      ,synop,Sundsvall Harnosand
S02368,  62.22361,  17.74917,  17.6,synop,BRAMON
S02382,  62.64972,  18.09944,  17.8,synop,LUNGO
S02403,  58.70000,  13.11833,  53.0,synop,NAVEN
S02407,  60.67650,  13.70733, 302.5,synop,MALUNG
S02408,  59.22528,  12.08583, 169.9,synop,BLOMSKOG
S02411,  59.68028,  12.64139,  65.8,synop,ARVIKA
S02413,  60.75686,  12.77226, 199.0,synop,BRATTMON
S02417,  58.75000,  13.15000,  50.0,synop,PALGRUNDEN
S02418,  59.44472,  13.33750, 107.0,synop,Karlstad Flygplats
S02423,  59.87417,  13.12139, 109.1,synop,SUNNE
S02426,  60.15639,  13.80333, 187.3,synop,GUSTAVSFORS
S02429,  59.66972,  14.19417, 133.3,synop,DAGLOSEN
S02431,  59.87033,  15.25233, 282.3,synop,KLOTEN
S02432,  59.21667,  15.03333,      ,synop,Orebro Private
S02435,  60.41667,  15.50000,      ,synop,Borlange
S02440,  60.97028,  16.44083, 161.8,synop,AMOT
S02441,  60.96806,  14.51194, 195.7,synop,MORA
S02443,  59.65000,  17.11667,  26.0,synop,Enkoping
S02449,  59.38250,  16.45217,  10.4,synop,ESKILSTUNA
S02450,  60.73972,  17.56889,   3.9,synop,EGGEGRUND
S02452,  59.30000,  14.90889, 218.8,synop,KILSBERGEN-SUTTARBOD
S02453,  60.71694,  17.17361,  16.1,synop,GAVLE
S02456,  60.23750,  17.90722,  33.4,synop,FILM
S02458,  59.90000,  17.58333,      ,synop,Uppsala
S02460,  59.62639,  17.95083,  42.0,synop,Stockholm-Arlanda
S02462,  59.86667,  17.63333,  13.0,synop,Uppsala University
S02464,  59.35000,  17.88333,      ,synop,Stockholm Bromma
S02468,  60.39278,  15.14528, 492.5,synop,STORA SPANSBERGET
S02469,  59.18722,  17.92139,  44.6,synop,TULLINGE
S02472,  60.12295,  15.12262, 246.0,synop,SKEPPMORA
S02476,  59.06056,  16.40722,  31.8,synop,FLODA
S02481,  59.91639,  16.69056,  56.8,synop,SALA
S02482,  60.27056,  16.98417,  55.8,synop,KERSTINBO
S02484,  59.35000,  18.06667,  44.0,synop,STHLM/OBSERVATORIET
S02485,  59.35000,  18.06667,  44.0,synop,Stockholm
S02486,  59.35139,  17.52972,   6.3,synop,ADELSO
S02487,  59.34550,  18.74058,  20.0,synop,SKARPO
S02488,  60.53250,  18.36833,   8.2,synop,ORSKAR
S02489,  59.06778,  18.10889,   4.3,synop,Berga
