id_staz,lat,lon,quota,dataset,nome
H12259,43.97999,08.10447,350.0,fiduli,Conna
H12260,44.10632,09.73483,338.0,fiduli,Corniolo
H12261,44.47507,09.00714,630.0,fiduli,Creto
H12262,44.52014,08.98586,470.0,fiduli,Crocetta D'Orero
H12264,44.34000,09.71000,780.0,fiduli,Cuccarello
H12265,44.46781,09.09539,467.0,fiduli,Davagna
H12267,43.92741,08.06093,100.0,fiduli,Diano Castello
H12270,44.36638,08.46670,80.0,fiduli,Ellera-Foglietto
H12271,44.46494,08.70493,290.0,fiduli,Fiorino
H12272,44.40290,09.09318,791.0,fiduli,Fontana Fresca
H12273,44.13805,09.90619,25.0,fiduli,Fornola
H12278,44.45530,08.89561,47.0,fiduli,Genova-Bolzaneto
H12279,44.40702,08.94957,5.0,fiduli,Genova-Borgo Incrociati
H12280,44.42834,08.93448,360.0,fiduli,Genova-Castellaccio
H12281,44.40000,08.95000,30.0,fiduli,Genova-Centro Funzionale
H12282,44.41094,08.95395,10.0,fiduli,Genova-Firpo
H12283,44.43439,08.96109,30.0,fiduli,Genova-Gavette
H12284,44.43671,08.82023,20.0,fiduli,Genova-Granara
H12285,44.43227,08.82460,69.0,fiduli,Genova-Pegli
H12286,44.48852,08.90010,75.0,fiduli,Genova-Pontedecimo
H12287,44.44876,09.01531,74.0,fiduli,Genova-Rosata
H12288,44.38472,09.06158,174.0,fiduli,Genova-Sant'Ilario
H12289,44.46268,09.39525,1009.0,fiduli,Giacopiane
H12291,44.46112,09.38773,1030.0,fiduli,Giacopiane-Lago
H12292,44.38241,08.55555,90.0,fiduli,Il Pero
H12293,43.87957,08.01652,71.0,fiduli,Imperia-Oss. Meteosismico
H12295,44.53013,08.85822,300.0,fiduli,Isoverde
H12296,44.53013,08.85824,300.0,fiduli,Isoverde 1
H12299,44.12485,09.78808,235.0,fiduli,La Foce
H12300,44.32323,09.61484,270.0,fiduli,La Macchia
H12301,44.44076,09.04717,150.0,fiduli,La Presa
H12302,44.10703,09.82819,35.0,fiduli,La Spezia
H12303,44.33542,08.48011,253.0,fiduli,Lavagnola
H12304,44.40350,08.64766,110.0,fiduli,Lerca
H12305,44.17888,09.61870,85.0,fiduli,Levanto-San Gottardo
H12306,44.17143,09.60677,6.0,fiduli,Levanto-Vallesanta
H12307,44.55421,09.28421,600.0,fiduli,Loco Carchelli
H12309,44.43429,08.74155,104.0,fiduli,Madonna delle Grazie
H12313,44.05000,10.01381,2.0,fiduli,Marinella di Sarzana
H12314,44.24501,09.61510,485.0,fiduli,Mattarana
H12315,44.47419,08.73312,270.0,fiduli,Mele
H12316,44.47419,08.73313,270.0,fiduli,Mele 1
H12318,44.54028,08.93816,270.0,fiduli,Mignanego
H12319,44.43946,08.74603,35.0,fiduli,Molinetto
H12321,43.93074,07.84202,240.0,fiduli,Montalto Ligure
H12322,44.55150,08.95790,655.0,fiduli,Monte Capellino 1
H12323,44.55150,08.95791,655.0,fiduli,Monte Capellino 2
H12324,44.55150,08.95792,150.0,fiduli,Monte Capellino 3
H12325,44.31091,09.44102,175.0,fiduli,Monte Domenico
H12327,43.79330,07.61888,210.0,fiduli,Monte Maure
H12328,44.07129,09.93842,360.0,fiduli,Monte Rocchetta
H12331,44.27808,09.65595,185.0,fiduli,Nasceto
H12333,44.19514,09.77099,75.0,fiduli,Padivarma
H12334,44.34209,09.35624,25.0,fiduli,Panesi
H12336,43.90463,07.73328,931.0,fiduli,Passo Ghimbegna
H12337,44.48613,08.73602,234.0,fiduli,Passo del Turchino
H12342,44.19801,09.84904,48.0,fiduli,Piana Battolla-Ponte
H12344,44.04952,07.91473,263.0,fiduli,Pieve di Teco
H12345,44.04202,07.79343,1845.0,fiduli,Poggio Fearza
H12346,44.05394,08.05562,93.0,fiduli,Pogli d'Ortovero
H12348,44.05445,08.06393,90.0,fiduli,Pogli d'Ortovero idrometro
H12351,44.06403,09.97215,10.0,fiduli,Ponte Colombiera
H12355,44.06393,07.86644,475.0,fiduli,Pornassio
H12357,44.05200,09.83594,40.0,fiduli,Portovenere-Comune
H12361,44.41681,09.00911,234.0,fiduli,Premanico
H12362,44.06542,08.00433,343.0,fiduli,Ranzo
H12363,44.37488,09.45774,530.0,fiduli,Reppia
H12365,43.88859,07.60177,215.0,fiduli,Rocchetta Nervina
H12366,44.10328,09.93033,85.0,fiduli,Romito Magra
H12369,43.94153,08.00619,67.0,fiduli,Rugge di Pontedassio
H12373,44.27470,09.65964,180.0,fiduli,S.Margherita Vara
H12375,44.36189,08.52730,180.0,fiduli,Sanda
H12376,43.82265,07.78625,61.0,fiduli,Sanremo
H12377,44.44247,08.84485,310.0,fiduli,Santuario Monte Gazzo
H12378,44.34555,08.43753,90.0,fiduli,Santuario di Savona
H12379,44.11227,09.96546,26.0,fiduli,Sarzana
H12382,44.30620,08.48305,24.0,fiduli,Savona-Istituto Nautico
H12385,43.93960,07.60808,1212.0,fiduli,Sella di Gouta
H12386,44.26434,09.73698,580.0,fiduli,Sero' di Zignago
H12387,44.29848,09.67751,265.0,fiduli,Sesta Godano
H12388,44.27377,09.40992,10.0,fiduli,Sestri Levante
H12389,44.27000,09.42966,13.0,fiduli,Sestri Levante-Sara
H12391,44.41582,08.48252,349.0,fiduli,Stella S.Giustina
H12392,44.40530,09.62050,895.0,fiduli,Taglieto
H12393,44.31274,09.54859,603.0,fiduli,Tavarone
H12394,44.00538,08.02774,439.0,fiduli,Testico
H12397,43.99451,07.76242,789.0,fiduli,Triora
H12400,43.83551,07.81883,41.0,fiduli,Valle Armea-Ponte
H12401,44.52038,08.94744,407.0,fiduli,Valleregia
H12403,44.38313,09.58420,345.0,fiduli,Varese Ligure
H12405,43.78777,07.61211,21.0,fiduli,Ventimiglia
H12407,44.48555,08.97849,310.0,fiduli,Vicomorasso
H12408,44.42846,09.06348,430.0,fiduli,Viganego
H12451,44.19802,09.95015,45.0,fiduli,CALAMAZZA
H12453,44.36182,09.89656,200.0,fiduli,PONTREMOLI-S.GIUSTINA
H12454,44.20233,10.06207,107.0,fiduli,SOLIERA
H12935,44.34611,09.34833,26.0,fiduli,Carasco
H12936,44.10379,10.00705,96.0,fiduli,Castelnuovo Magra
H12937,44.29694,09.37361,100.0,fiduli,Cavi di Lavagna
H12938,44.07491,10.00899,5.0,fiduli,Luni
H12939,44.13472,09.64028,75.0,fiduli,Monterosso
H11831,43.29068,13.73623,8.0,fiduma,Foce Chienti
H11832,43.82633,13.05380,7.0,fiduma,Foce Metauro
H11834,43.69091,12.82464,96.0,fiduma,Fossombrone
H11835,43.01023,13.40032,300.0,fiduma,San Ruffino
H11836,43.04679,13.45162,269.0,fiduma,Tennacola
H13974,43.57445,13.52388,52.0,fiduma,Baraccola
H13975,43.58027,13.02907,186.0,fiduma,Barbara
H13976,43.36223,13.19233,790.0,fiduma,Cingoli
H13977,43.33027,12.90403,354.0,fiduma,Fabriano Centro
H13978,43.03470,13.15600,747.0,fiduma,Fiastra Tribbio
H13979,43.43578,13.61955,45.0,fiduma,Loreto
H13980,43.29223,13.41870,294.0,fiduma,Macerata Montalbano
H13981,43.73750,12.96922,189.0,fiduma,Piagge
H13982,43.08003,13.28157,465.0,fiduma,Pian di Pieca
H13983,43.36842,13.07953,580.0,fiduma,Poggio San Vicino
H13984,43.60500,12.95333,160.0,fiduma,San Lorenzo in Campo
H13985,43.15903,12.97075,469.0,fiduma,Sefro
H13986,43.70103,13.20577,6.0,fiduma,Senigallia
H13987,43.03055,12.91750,754.0,fiduma,Serravalle di Chienti
H13988,43.11957,12.95295,660.0,fiduma,Sorti
H13989,43.19405,12.90042,484.0,fiduma,Spindoli
H13990,43.84342,12.59110,405.0,fiduma,Tavoleto
H13991,43.20922,13.29552,191.0,fiduma,Tolentino
H06468,43.38863,13.04168,625.0,fiduma,San Giovanni
H06491,43.62828,12.68450,193.0,fiduma,Acqualagna
H06543,43.54328,13.38067,170.0,fiduma,Agugliano
H06544,43.61036,13.50836,91.0,fiduma,Ancona Regione
H06545,43.56213,12.43040,465.0,fiduma,Biscubio
H06546,43.36417,13.34306,195.0,fiduma,Appignano
H06547,43.49745,12.93669,535.0,fiduma,Arcevia
H06548,43.83988,12.89474,53.0,fiduma,Arzilla
H06549,43.02143,13.61846,213.0,fiduma,Aso
H06550,43.51722,13.53291,25.0,fiduma,Aspio
H06551,43.49400,13.56669,18.0,fiduma,Aspio 2
H06552,43.66266,13.16500,26.0,fiduma,Misa
H06553,43.14007,13.06798,581.0,fiduma,Camerino
H06554,42.73848,13.23818,888.0,fiduma,Capodacqua
H06555,43.31040,12.82428,532.0,fiduma,Campodiegoli
H06556,43.47564,13.38839,84.0,fiduma,Musone
